text,label
"Футболка классная! Маловата немного, берите на размер больше! Шла около месяца ",одежда
"Понравилось,чуток в длину великовата (рост 155) цвет крутой, очень модный в этом сезоне.",одежда
"красивый только цвет. фактура тон
кая, хоть и мягкая, и тёплая. фурнитура дешевая: шнурок, бегунок молнии. качество швов  ужасное, на самом видном месте торчат нитки",одежда
"заказала размер s, платье оказалось очень велико, придётся ушивать, материал синтетика, пришло очень быстро за 13 дней",одежда
"Прекрасная туника. Качество на высшем уровне,продавец очень общительный.Идет размер в размер. Я довольна покупкой,советую и товар и этого продавца",одежда
Wery Good,нет товара
"Юбка пришла с задержками но пришла ,очень хорошая,на рост 145 самое то но подтяжки свободно",одежда
видела бы в магазине - не купила бы... качество отстой,нет товара
Слишком тонкие ,нет товара
отличное качество товаров,нет товара
"Просвечивает и короткая, хотя на фото она не такая прозрачная",одежда
"Плохо прошиты швы, в этих местах материал собирается",одежда
"Тёплые, цвет соответствует картинке. По размеру подошли. Всё отлично.",обувь
"заказ шёл ну очень долго, да еще и как нарочно они коротки мне. вцелом осталась не довольна. заказывала М(мой рост 168, об 87) у кого ножки длинные можно L заказать",одежда
"пришла за 23 дня.качество прекрасное.ткань похожа на плотный стрейч, на осень прекрасно. кружево мягкое.",одежда
джинсы пришли с пятнами,одежда
"ткань довольно тонкая, но я брала для косплея, так что норм. размер S на мои 91-66-97 довольно свободно висит, на рост ~170 по длине великовато",одежда
"была маленькая дырочка, и полноразмерная",обувь
"материал плохой, просвечает и одна сентетика",одежда
все супер! доставка месяц) спасибо продавцу)),нет товара
"Очень милая и приятная на ощупь, пришла очень быстро",нет товара
"Качество нормальное. Но сильно маломерят. Заказала М, а она в лучшем случае ХS. ",одежда
"Очень милые носочки, качество не плохое",обувь
"мало того, что заказ отправили не туда. так еще и деньги не возвращают",нет товара
"Заказ шел 2 недели. Думала, что качество будет получше, да еще и дырка на штанах. Вообщем не очень понравились.",одежда
не пришли!!! спор ничего не дал! не берите к этого продавца ничего.,нет товара
"Заказывала М на 165 рос 60 кг,  но было мол мерка не влезла. качество отличное",одежда
Самый долгий заказ на Алиэкспресс.,нет товара
платье велико в бедрах. хоть и размер с. быстрая доставка. смотрится не очень. вырез ворота ужасный.,одежда
Трусы не пришли,одежда
"много торчащих ниток,внутри шов на шортах не ровный,и где лиф ажур вообще неровный",одежда
Супер-пупер! Пришло за 17 дней по бесплатной доставке !!! Очень понравилось как смотрится ,нет товара
"это прям ужас, не поняла восторженных отзывов, мне носить не хочется, тряпка! везде нитки, швы никакие.",одежда
"Ткань тонкая, размер L идёт на М ",одежда
"платье не подходит по описанию очень плохо,теперь что делать незнаю!больше не одну вещь тут не закажу,!",одежда
"колготки очень короткие, на пост 162 не подошли совсем! стрелка не очень ровная и толстая. не советую здесь покупать.",одежда
"Качество не очень понравилось, синтетика и тонкая очень. И с размером не угадала- большая мне.",одежда
"товар пришел быстро. но без толку.
 вещь являет собой просто вырезанную тряпочку с одними лишь боковыми швами. ни горловина, ни низ, ни пройма даже не оверложены!
убожество!!!",одежда
"Так ,что то не очень.Одно радует рукова  нормальные.А вот длина убки выше колен,а не до колена.И МНЕ КАЖЕТСЯ, ОНО ПОЛЕНЯЕТ ПОСЛЕ СТИРКИ.",одежда
Прекрасное платье за свою цену! На рост 168 и 44 р-о М-ка села идеально.Длина оказалась до пола.Из минусов - синтетическая ткань юбки при активных танцах начинает электризоваться))),одежда
Качество ужас...,нет товара
"терпеливо ждала 4 месяца, но ничего так и не пришло",нет товара
"на 48 размер,  объем груди 96см., xxxl велико.",одежда
"Заказывала 3 розовые и 2 светло-розовые ,в итоге пришли 5 одинаковых  шапок !!!",одежда
Все хорошо но она просвечиваеться более летний вариант,одежда
"очень хорошая кофта хотя это скорее идёт как туника, заказ пришел быстро, заказала 11.11 получила 30.11",одежда
Пришло с браком,нет товара
"Шло в Москву очень долго, доставка хреновая. Открыла спор, вроде деньги вернули. Но долго продлевали защиту несколько раз. Лучше не продлевайте - нет смысла ждать. Продавец вроде общительный. ",нет товара
"Красивый бордовый цвет, хорошая форма.Даже на моих маленьких параметрах груди смотрится хорошо (79-62-92),достаточно свободна. Доставка- недели две до Мск.Очень довольна!Рекомендую.",одежда
"качество хорошее, швы ровные, приятная ткань, не синтетика",одежда
С размером ошиблась. На российский 50 52 точно меньше надо брать чем 5 xl. Немного мешковато сел. А так вещь понравилась,одежда
товар не пришел. и не отслеживался. деньги не вернули.,нет товара
"Качество отличное ,доставка до Башкирии 3 недели",нет товара
"Прекрасные шорты! Отличное качество, сидят хорошо, быстрая доставка. Взяла s сели отлично не маломерят. Спасибо ! ",одежда
"Брюки хорошие, но написано в описании что они теплые, а по факту тонкие не утепленные. Очень разочарована этим обманом. Заказывать у этого продавца больше не буду.",одежда
"Цвет не тот что заказывали , рубашка с браком, швы разошлись и рваная. В остальном все устраивает ",одежда
все подошло . ткань не очень.,текстиль
"Платье огромного размера, пошив не фабричный, нет никаких  лейблов, края не обметаны, сама ткань не плохая,тяжёлая, тянется, возможно будут катышки, заказом осталась недовольна, за эти деньги на А
ли можно купить вещь лучше.",одежда
"Всем рекомендую,классный свитер",одежда
Отличная удобная кофточка,одежда
"Х/б носочки,хорошее качество,пришли вовремя,дочь очень довольна.",одежда
"Ожидала другого от этого платья ,материал очень тонкий .Осталась не довольна покупкой .",одежда
Очень маленькая. Размерная таблица не соответствует действительности. На ОГ 86см брала М.,одежда
"Заказываю во второй раз. Качество так же на высоте, размер M подходит на бедра 93 см. Кружево тонкое и швы под одеждой не заметны. Спасибо большое!",одежда
Продавец прислал не тот свитер!! Я очень расстроена!!!,одежда
Плохое качества это платье даже 300 руб не стоит (((,одежда
"Долго ждала посылку. Оказались велики, хоть и выглядят как колготки, но сваливаются при ходьбе ",одежда
Жутко просвечивает. И вверх  и низ. Заказывала розовое. Фатин желтый. Я разочарована. Носить не буду.,одежда
"Товар доставили курьером на дом, костюм хороший, но на рост 170 брюки короткие. Вес 54 кг- размер М подошёл ",одежда
"рисунок на вещи не совпадает, рукава широкие",одежда
"Доставили очень быстро.  Качество отличное, выглядит маленьким, но хорошо тянется, по весу тяжелый, мягкий. На размер 46-48 взяла XL, подошёл. Рукава нормальные, не короткие. Очень теплый свитер.",одежда
"Синтетика сплошная, мало, брала размер L на рост 158, грудь 90, талия 70, бедра 98. Обтянуто как любительскую колбасу. Жаль деньги, буду как то расшивать, но синтетику не очень хочется носить...",одежда
Отлично! ,нет товара
"доставка быстрая, соответствует описанию и картинке. на свой 44 размер брала м. платье короткое, резинка туговатая, но на одно плечо сидит хорошо. оценку снижают за ткань. не приятная, скользкая ...",одежда
заказ шел долго. супер эффекта не нашла. стрелки пошли после первой носки! таких денег не стоят однозначно.,обувь
"Топ короткий. Очень короткий. Почитала отзывы, специально взяла на размер больше, но напрасно. Так что имейте в виду.",одежда
"туника пришла без размерная, рукава короткие с ужасным запахом",одежда
"Не пришли,спор длился недели 2-3..",нет товара
"Платье на фото бежевого цвета, в реальности оно пудрового, почти розового цвета. В принципе, платье бомба. Удовлетворил и размер и материал. Но цвет не то, что на картинке. Печально.",одежда
"Хорошая водолазка, но очень тонкая, меня сильно обтянула! на параметры 93-60  хотелось бы на размер больше!",одежда
"Товар не пришел. Деньги вернули. Но продавец хороший и милый. Просто, может быть, мне не повезло.",нет товара
"Товар так и не пришёл. Вместо блузки прислали резиновых опарышей (!!!) ржали долго) правда продавец обещал отправить другим заказом, но пока глухо. За опарвшей отдельное спасибо.",одежда
"Трусы не плохие ,но  две шт. из пяти не соответствуют заказанным (замена расцветки на худшию),одни из них большего размера,мне велики ,остальные на о.б. 98 сели хорошо.",одежда
Не по размеру и плохо пошито,одежда
"На мой рост(157см)не подошел,слишком короткие.Сшито очень плохо.Лосины не стоят таких цен",одежда
"До Хабаровского края дошла за месяц, трек отслеживался, качество отличное, очень понравилась, правда электризуется, подошел размер XXL   на рос.50",одежда
"Отличные трусики , буду заказывать еще. На размер 46 брала XL. Доставка быстрая, трек отслеживался.",одежда
Спасибо все подошло,нет товара
наверно хорошие а так не получили,нет товара
качество на троечку,нет товара
Жаль，товар так и не получила.Открыла спор，вернули деньги.Потерялся наверное на просторах нашей страны.,нет товара
"Заказ шел 2 месяца. Размер подошел (мой 46-48 заказала XL). Верхние карманы оказались фальшивыми, непонятно, зачем городить молнию было, тем более она не ровно вшита. Нижние карманы маленькие.",одежда
хорошая теплая кофта. все как в описании,одежда
"Не стоит заплаченных денег((( ткань плохая, полоска чёрная на самом видном месте",одежда
мало( xxxl подошел только на 42 размер(,обувь
Товар не пришёл вернули деньги,нет товара
"Материал как у мед.халата...просвечивает, выглядит дешево. Размер не соответствует. Подклад где-то есть, а где-то нет... торчат нитки...900р это не стоит.  Я разочарована...",одежда
С размером не угадал. А так всё как на картинке. Спасибо продавцу. Рекомендую!,обувь
Не подошёл размер ,обувь
три месяца жду не получила блузку. жалко конечно,одежда
"От кофточки ожидала большего..судя по отзывам. оказалась велика, цвет не соответствует фото. Не очень приятный запах, тут же отправила в стирку.",одежда
продавец отправил товар на другой адрес!! обман,нет товара
"не ахти качество...доставка ужасная , пришлось потратить день , что бы найти ячейку куда бросила курьерская служба CDEK это пальто",одежда
"кофточка хорошенькая,правда на 40_42 надо было на размер меньше брать",одежда
"на рост 163 и 44р брала L.По размеру вроде нормально,но талия высоко,платье очень короткое,особенно полклад.Буду сама переделывать.Так материал мягкий,цвет как заявлен.Доставка быстрая.Платье на очень маленький рост не выше 150",одежда
Размер не соответствует. Заказали 4XL по факту оказался на 50 размер максимум.,одежда
Отличная рубашка. Отличное качество.,одежда
как на картинке!,нет товара
Размер куртки не соответствует вашей линейки размеров,одежда
"Юбка классная,из плотного стрейча,смотрится супер,доставка три недели.",одежда
"Состав 90% Полиамид 10% Эластан, даже ластовица, швы прошиты небольшиии шовчиками и проклеены клеем.",одежда
Платье просто великолепное. Качество супер. Закажу в другом цвете ещё.,одежда
"качество средне..на картинке яркий ,а пришел не яркий цвет рукавов(((",одежда
"Товар не пришел, деньги вернули ",нет товара
"свитер тонкий,но качество хорошее",одежда
материал на фото матовый похож на хлопок а на самом деле блестит и структура резины,текстиль
цвет совсем не такой как был заказан,одежда
заказ прислали на другой конец города. зачем продавцу адрес дается???,нет товара
"Ткань хорошая, но модель какая-то несуразная. Спина пошита как мужская рубашка, ни о какой приталиности речи не идет. Наоборот очень широкая, как для горба. Не буду носить.",одежда
Прекрасная блузка. По размеру подошло. Пришла быстро.,одежда
"Юбка не плохая, но очень сильно маломерит.  Брала XL российский ношу L или похудею, или отдам дочке (предварительно ушив))))
Доставка быстрая. Трек отслеживался.",одежда
"Очень классная, мне понравилось, материал мягкий, буду заказывать еще",текстиль
Товар пришёл с зелёными пятнами!,нет товара
"На 46 размер взяла L , все хорошо, только вот рукав можно было бы длиннее сделать. А так в принципе не плохо.",одежда
хорошая куртка. красивый цвет,одежда
"подошло очень хорошо! у меня 90-76-92, размер М брала, качество неплохое, закажу ещё черный!",одежда
"Really nice love them all with logo and nice sturdy quality,i will buy more.",украшения и аксессуары
"Очень-очень довольна!!! Отличный пошив и удачная модель! Присутствует запах, но надеюсь выветрится. Спасибо продавцу и удачных продаж!!! Рекомендую!!!",одежда
"Доставка быстрая,но размер не соответствует,XXL не налез даже на 48.Качество хорошее. Жаль,что не подошла.",одежда
"курьер принес домой, все хорошо, но в талии большевато",одежда
"заказ пришёл через 55 дней, ещё и с пятном еле еле отстирали ставлю 2",одежда
"Отличная юбка! Качественный принт, приятная ткань (сильно тянется). Размер подошел (на 48 размер брала XL). Спасибо продавцу. Собираюсь заказывать еще такую, но в другой расцветке ",одежда
Юбка выглядит очень дёшево. Тянется плохо. Ткань как будто дубовая и топорщится некрасиво. Она скорее на размер 42-44,одежда
"Кофта маломерит. На свои параметры по таблице размеров заказала L- оказалась маловата, по факту соответствует M. За это снимаю звезды",одежда
"Кофта не подошла по размеру,качество ткани просто ужасное.",одежда
юбка пришла быстро. на размер 42-44 оказалась узкой резинка.,одежда
"Заказ пришёл за 2,5 недели. Трек отслеживался. Упаковоно все очень хорошо. В подарок положили резинку для волос. Спасибо большое продавцу",нет товара
"Не получила заказ, продавец вернул деньги",нет товара
"послали по другому адресу,  пришлось ставить на спор. недовольна продавцом!",нет товара
"Качество хорошие, но размер L оказался маловат.",одежда
Спасибо большое за быстрату. Красивый цвет,нет товара
"куртка очень странная. по бокам нашиты подушки , которые здорово прибавляют фигуре объем. но теплая. качество хорошее",одежда
джинсы сильно воняют... на рост 165 размер 27 очень короткие по длине.. продавец обещал скидку сделать если ещё закажу и я поверила заказала еще маме...а он обманул...скидки не было.. и вторые джинсы не айс...,одежда
не знаю в каком месте это синий. сфоткала со вспышкой и без. на мой взгляд это черный не насыщенный. размер xl  думаю максимум на 50р русский,одежда
"заказ пришёл за 2 недели. все по размеру.. НО после первой носки верхний слой слез, теперь в мусор или под штаны.. очень жаль..",обувь
ни кофты ни денег только просьба не открывать спор и подождать четыре месяца прошло!!!! совести нет совсем!!!!,одежда
"Товар не пришёл, продавец отметил как доставлен, спор на возврат денег был открыт 02.11.17, деньги ещё не вернули",нет товара
"Очень много ниток. Ткань приятная,в общем соответствует цена качеству.",текстиль
"ладно бы просто в талии большие были, с ремнем нормально, но там образуется пузырь на месте живота, не знаю,что и делать",одежда
"Кофта пришла быстро. Ткань приятная к телу. Но на кофте множество пятен, по моему жирных. Попытаемся отстирать. Размерный ряд не соответствует заявленному. Маломерка, хотя длина рукавов хороша.",одежда
"туника хорошего качества, но был брак (шов неровный и сборил)",одежда
на рост 170 штаны короткие,одежда
"доставка очень быстро 16 08
 заказали 30 08 уже получили.",нет товара
"Майку не получила, деньги вернули.",одежда
"кофта пришла ооочень маленького размера , т .е вообще не соответствует размеру я разачерованна.",одежда
"очень тоненький. цвет не такой как на фото, намного темнее. но за такую цену 565 руб. нормально",одежда
"куртка очень тонкая, на осень не пойдет, пуха очень мало и просвечевает через ткань, цвет белый не берите. Летом в ней только ходить",одежда
куртка маломерит  по сетке не проходит,одежда
"За такие деньги она оправдала себя.  Брала L на свой размер M  и не прргадала, ибо можно было бы взять еще побольше.",одежда
ужасная синтетика с торчащими нитками,одежда
"Размерная сетка не соответствует, заказывала 80D на русский 70D - оказался дико мал. Качество не самое лучшее, чистая синтетика.",одежда
цвета не яркие как на фото,одежда
"Качество отличное, швы ровные, запаха нет и петель тоже нет, но это не критично. Продавцу спасибо!",одежда
"Платье просто супер!Очень понравилось,качество пошива на отлично.На ОГ 106 И ОБ 112 впритык.Длина чуть ниже колена при росте 164 см.Платье отслеживалось хорошо.Купила за 1047 рублей.Продавец молодец",одежда
"Доставка в г. Томск 16 дней.
Юбочка выполнена качественно, материал мягкий. Но не подошла, так как заказали по размеру, а описания размера не читали. Будьте внимательны!
Во стольном все понравилось, Продавцу спасибо.",одежда
Вещь только на маленькую грудь. Никакой второй размер туда не поместится и ничего не держит. Может служить только в качестве накладки для тех у кого на теле минимум.,одежда
"Пипец! Заказал xl, а пришёл хз знает какой, я думаю 42если не меньше! Жесть!!!!!",одежда
"Пижама не доехала, застряла в Китае, по истечении 2.5 месяцев поняла что её потеряли. Деньги вернули быстро в течении недели",одежда
"Размер только на ог/от/об 89/73/96, плечо 37, рост 164. Тогда как на фото продавца. На размер более получатся в обтяг, она конечно тянется, но это просто ужасно.",одежда
If you order in the dimensional table set one size in my parameters. And came one size smaller. Jacket small to me.,одежда
"Маленькие, размер не соответствует",обувь
"Платье пришло с зацепкой спереди, на видном месте((( очень жаль, носить не смогу",одежда
Пришли уже в полинявшем состоянии...носить невозможно,обувь
"колготки очень понравились, но пришли с браком.... пришлось открыть спор",одежда
"ткань - синтетика среднего качества, размерная сетка не соответствует действительности. Нитки не торчат. не пахнет. В общем за такие деньги более менее.. рекомендую брать на размер побольше.",текстиль
"Хорошие, плотные носки, прекрасно подошли на размер 39-40. Ребенок доволен. Рекомендую. Спасибо.",обувь
"все пришло супер,быстро,качество класс,рекомендую",нет товара
"Размер не соответсвует ,немного не тот цвет,рассчитан для девочек лет 10-12",одежда
Ужасная синтетика! Расстроилась. Размер наверно 48-50. Своих денег не стоит вообще! Хотела даже спор открыть,одежда
"Товар заказывала в апреле,до августа так и не пришёл,деньги продавец вернуть отказался.Не рекомендую",нет товара
материал не такой плотный и теплый.но мягкий.  для летних вечеров самый раз,одежда
"К сожалению, платье  не соответствует фотографии и описанию, на которой представлено платье. Размер «S»  очень сильно велик в талии, в плечах. Рукава сильно короткие. Длина платье, не то, что мини, а минимини.",одежда
размер маленький на 2 раза больше надо заказать,обувь
"хорошая качественная рубашка, по размеру в целом подошла (немого только расходится в груди, но на мне все рубашки так сидят), доставка в Тулу 3 недели. Запаха нет.",одежда
к сожалению товар я не получила,нет товара
"Супер,  очень нравится !",нет товара
Отличная рубашка! На 50-52 надо 4xl,одежда
"Товар понравился полностью соответствует описанию.  К телу приятные, пришли за две недели.",одежда
товар не пришел. деньги вернули. продовец очень общительный,нет товара
"Приятная,мягкая.Полоски яркие. На 42-44  М-ка хорошо и даже рукава не коротки.",одежда
"Свой заказ я так и не получила, но спасибо за возврат денег.",нет товара
"Заказала 2 кофты, красную и розовую. Розовая оказалась больше и цвет не как на фото. Ядерно розовый. Как у барби. ",одежда
заказали ххл но он подошёл на 40- 42 на вес 51 рост 161 шел месяцев отслеживается качество хорошее с хлопком плотный не прилипает грязь,одежда
отличная футболка! качество хорошее. быстрая доставка. спасибо продавцу!,одежда
"УЖАСНАЯ КОФТА. ЖДАЛА ОЧЕНЬ ДОЛГО,ТАК МНЕ ЕЩЕ И ДЕНЬГИ НЕ ВЕРНУЛИ!! кофта мала,и качество как половая тряпка",одежда
"Толстовка так себе, молния металическая дешёвая, желтая, не как на фото, от этого вид хуже.сшита неплохо, но верх блестящая синтетика, быстро покрывающаяся каташками(пошла на дачу(",одежда
Пришло совсем не то что заказывали,нет товара
"Посылка не дошла, деньги вернули. ",нет товара
"Размер 3XL  на 46-48. На меня мало. Не соответствует фото. В реальности спереди подол короче сантиметров на 10, рукава без отворотов, ткань полусинтетика.",одежда
"Размер не соответствует, очень маленький, на подростка",одежда
"Заказала пришёл другой цвет, плохого качества, не такое как на фотографии!!!Первый раз заказывала и не удачно ",нет товара
"Хорошая, тёплая толстовка! Размер на худенького подростка), моему ребёнку 13 лет, село в самый раз. Спасибо за быструю доставку и подарочек, очень приятно!",одежда
"качество пуховика не плохое, но смутили пятна не понятного происхождения",одежда
"по итогу,заказ не получила.Открыла спор,который борианули со всеми моими претензиями.Почта России похерила или с номером отслеживания какая то беда...",нет товара
"Яркое, красивое, классное. Рекомендую.",нет товара
"Размер не соответствует, сильно маломерит. Заказала S, а нужно было М, а может даже  L. Написала продавцу, даже не ответил.",одежда
вместо шорт продавец прислал какую-то хрень,одежда
"Кофта не на долгую носку.После стирки качество ооочень испортилось! 
А так симпатичная, хорошо смотрится!",одежда
очень  лёгкая но не просвечивает  к телу  приятно  смотрится супер размер  соответствует действительности на 42 брала  s,одежда
заказ не пришел. деньги вернули через 4 месяца.,нет товара
"товар не пришел 2 месяца ждала, на сообщение не отвечают, деньги не вернули",нет товара
"ужасный товар , не кому не советую, даже дома стыдно одевать",одежда
"На фото более толстая вязка, на самом деле тонкий трикотаж. Разочарована. Покупать не советую.",одежда
Все хорошо,нет товара
"Доставка быстрая и курьером до двери, что очень порадовало, материал хороший натуральный ",текстиль
"Товар пришёл быстро,продавец хороший. по качеству товар не очень хороший,после первой носки стал скатываться!это очень расстроило меня.цена приличная, а качество плохое!",одежда
пришли с браком,нет товара
"это просто ужас! по совету продавца на свой русский S заказала размер M и я в нем утонула. боди ОЧЕНЬ большое, не подошло. я очень расстроена. отдала маме, на ней еще более менее. товар не рекомендую!",одежда
"неплохая близка, но просвечивает",обувь
"не подошёл по размеру, верх сел идеально, а низ узкий и короткий, больше ни чего из одежды заказывать не буду",одежда
Маломерят. Рукава и длина оказались коротки,одежда
"Качество ткани очень неожиданное...неожиданно хлюпенькое... Рисунок с размытыми контурами, не яркий... В общем странная вещица, скорее более дачный вариант. Очень жаль, очень нравилась по описанию и картинке",одежда
